,词性,出现次数
1,/v/v,166903
0,/n/v,147862
2,/v/n,141082
5,/v/u,96612
4,/d/v,92497
3,/n/n,84578
8,/u/v,76408
13,/v/r,68335
14,/r/v,43696
10,/v/d,36767
9,/n/u,23992
6,/n/d,23277
7,/u/n,21413
15,/d/u,3050
17,/u/d,2637
12,/m/n,1364
11,/n/m,1063
19,/v/m,982
16,/r/n,545
