词性,出现次数
/v/v/v/v,2074
/n/v/v/v,1316
/v/v/n/v,1513
/v/v/v/n,1340
/v/n/v/v,1522
/v/n/v/n,803
/v/v/v/d,144
/r/v/v/v,169
/n/n/v/v,419
/n/v/n/v,852
/v/v/n/n,422
/v/n/n/v,472
/v/v/u/v,343
/n/v/v/n,732
/v/v/v/u,298
/v/d/v/v,214
/d/v/v/v,191
/v/v/r/v,196
/d/n/v/v,33
/n/n/v/n,125
/n/v/n/n,155
/v/v/v/r,92
/v/d/n/v,47
/n/d/n/v,20
/u/v/n/v,81
/v/n/v/u,51
/n/v/v/u,47
/u/v/v/v,93
/v/u/v/v,241
/n/n/n/n,6
/n/n/n/v,95
/n/v/u/n,6
/u/v/v/n,22
/v/r/v/v,218
/r/v/v/n,36
/v/d/u/v,26
/v/v/n/d,54
/v/d/u/d,12
/v/n/r/v,12
/v/n/v/d,12
/v/u/v/d,12
/v/v/d/v,130
/n/v/r/v,24
/v/u/v/n,52
/d/v/v/n,10
/r/v/r/r,8
/r/v/n/v,28
/n/u/v/v,38
/v/n/d/v,16
/v/n/n/n,21
/u/n/v/v,20
/n/u/n/v,16
/v/n/d/n,16
/n/v/v/r,16
/p/v/v/v,16
/v/n/v/r,28
/v/u/v/u,19
/n/v/u/v,18
/v/r/v/r,22
/r/v/r/v,20
/d/n/v/n,16
/d/d/n/v,7
/v/n/n/d,7
/v/u/d/v,16
/u/d/v/v,15
/n/v/v/d,11
/r/n/v/n,11
