,词性,出现次数
1887,/o/o/r/nd/n,4300
1890,/u/o/o/r/nd,4300
1889,/r/nd/n/u/o,4300
1888,/o/r/nd/n/u,4300
1892,/nd/n/u/o/o,4299
1891,/n/u/o/o/r,4299
0,/v/v/v/v/v,3589
17,/n/v/v/v/v,1501
26,/v/n/v/v/v,1414
22,/v/v/n/v/v,1305
16,/v/v/v/v/n,1272
1,/v/v/v/n/v,1235
27,/d/v/v/v/v,732
41,/n/v/n/v/v,666
97,/n/v/v/n/v,657
9,/v/n/v/n/v,632
38,/n/v/v/v/n,629
31,/v/v/n/v/n,559
105,/n/n/v/v/v,520
