词性,出现次数
/v/v/v/v,617
/n/v/u/v,75
/v/u/n/v,11
/n/v/n/v,234
/u/n/v/v,25
/v/v/n/v,390
/v/n/v/n,309
/v/v/u/v,105
/u/v/v/n,36
/v/n/v/u,53
/v/n/n/v,114
/v/u/v/u,13
/v/u/v/n,47
/u/v/n/v,60
/u/v/u/v,33
/v/n/v/v,443
/v/u/v/v,139
/v/v/u/n,18
/n/n/v/n,60
/n/v/v/n,154
/n/v/v/v,388
/d/v/d/v,8
/v/d/v/d,8
/v/v/v/d,39
/v/v/v/u,65
/ws/ws/ws/ws,16
/r/v/v/v,44
/u/v/v/v,69
/v/r/v/v,53
/n/v/v/u,31
/d/v/d/n,8
/d/n/v/v,30
/v/r/v/n,10
/d/v/v/u,6
/n/d/v/v,13
/n/n/v/v,134
/q/q/q/q,6
/v/v/n/n,113
/v/v/v/n,295
/n/n/n/n,69
/n/v/n/n,99
/n/n/n/v,34
/u/v/v/u,20
/v/n/u/v,33
/n/v/u/n,7
/v/v/v/r,36
/v/n/r/n,9
/n/r/n/n,8
/n/v/u/d,8
/v/n/n/n,51
/v/r/d/v,9
/v/v/r/d,9
/n/u/n/v,8
/v/n/u/n,15
/v/v/n/u,17
/v/v/d/v,59
/v/d/v/n,16
/n/d/v/n,15
/n/v/r/v,6
/u/n/v/u,6
/d/v/v/v,40
/v/d/n/v,16
/v/v/r/v,45
/n/d/n/v,21
/n/n/d/n,8
/n/u/v/v,8
/v/n/d/v,8
/d/n/n/v,14
/n/v/d/n,17
/v/n/v/d,8
/d/n/v/n,16
/d/u/v/v,9
/v/v/n/d,8
/v/n/n/u,10
/r/r/v/v,9
/n/v/v/d,10
/v/d/n/n,8
/v/d/v/v,27
/v/n/d/n,9
/d/v/n/v,18
/d/v/v/n,8
/v/n/v/r,8
/n/v/n/u,14
/n/v/d/v,8
/v/v/d/n,10
/v/n/r/v,8
