,词性,出现次数
0,/v/v,97936
2,/n/v,83643
1,/v/n,79938
6,/d/v,54474
3,/v/u,53155
5,/v/r,45792
7,/u/v,42473
8,/n/n,41954
4,/r/v,34662
9,/v/d,27375
10,/n/d,10396
13,/n/u,10154
11,/u/n,6254
15,/d/u,1824
14,/u/d,1802
12,/r/n,1560
17,/v/nh,874
16,/n/r,349
18,/nh/v,318
