,词性,出现次数
1,/v/v/v/v,3507
9,/v/n/v/v,2533
3,/v/v/n/v,2461
22,/v/v/v/n,2137
6,/n/v/v/v,2054
8,/v/n/v/n,1389
13,/n/v/n/v,1381
2,/n/v/v/n,966
12,/v/n/n/v,789
45,/v/u/v/v,642
10,/v/v/u/v,632
24,/v/v/n/n,583
33,/u/v/v/v,479
14,/v/v/v/u,473
15,/n/n/v/v,444
7,/v/d/v/v,402
16,/v/v/v/d,376
20,/v/v/d/v,351
4,/v/v/r/v,339
