,词性,出现次数
11,/v/v/v/v/v,562
7,/v/v/v/n/v,306
6,/v/v/n/v/v,294
25,/n/v/v/v/v,273
17,/v/v/v/v/n,269
9,/v/n/v/v/v,200
16,/v/n/v/n/v,150
15,/n/v/v/n/v,130
8,/n/v/n/v/v,124
13,/d/v/v/v/v,115
3,/n/n/v/v/v,115
22,/n/v/v/v/n,86
26,/v/v/v/u/v,76
53,/v/n/v/v/n,73
27,/v/v/n/v/n,67
85,/v/d/v/v/v,60
19,/v/v/d/v/v,60
5,/v/v/n/n/v,59
96,/v/v/v/v/u,59
