,词性,出现次数
2,/v/v,75766
0,/n/v,65937
1,/v/n,62564
3,/d/v,42293
6,/v/u,38186
4,/n/n,35576
5,/v/r,31780
11,/u/v,29010
9,/v/d,23334
7,/r/v,22915
8,/n/d,13616
12,/n/u,6697
13,/u/n,3139
10,/m/n,652
14,/d/u,613
18,/r/n,352
17,/u/r,318
19,/r/u,268
20,/r/r,256
