词性,出现次数
/v/v/v/v,3997
/v/n/v/n,1674
/n/v/n/v,1421
/v/n/n/v,826
/n/n/v/n,469
/v/v/n/v,2848
/v/v/v/n,2249
/n/n/n/v,264
/v/n/v/v,2719
/n/v/n/n,367
/v/d/v/v,397
/v/u/v/v,963
/n/v/v/v,2315
/v/u/n/v,89
/v/n/v/d,30
/v/v/d/n,18
/n/n/v/v,575
/v/v/n/n,468
/v/v/v/u,565
/n/n/v/u,52
/v/v/u/v,618
/n/v/u/v,262
/u/v/v/u,31
/d/v/v/u,18
/d/v/v/v,373
/r/v/v/v,210
/v/n/v/u,191
/n/v/v/n,1159
/u/v/v/v,724
/v/v/v/r,170
/u/v/v/n,176
/v/v/d/v,256
/v/v/n/d,82
/u/n/v/v,111
/n/v/v/u,113
/v/r/v/v,269
/v/d/n/v,66
/v/v/r/v,256
/d/n/v/v,15
/n/u/v/v,43
/u/v/n/v,188
/v/v/v/d,273
/n/d/v/v,31
/n/n/n/n,305
/a/v/v/v,14
/v/u/u/v,41
/d/n/n/v,17
/u/v/u/v,69
/a/v/v/n,10
/v/n/r/v,8
/v/n/v/r,40
/r/v/n/v,7
/u/v/n/r,7
/v/r/r/v,17
/d/v/v/n,23
/v/v/n/u,59
/v/v/u/n,31
/p/v/v/v,7
/r/r/v/v,7
/v/v/r/r,7
/n/v/u/n,35
/v/n/n/n,203
/u/n/v/u,13
/u/v/n/n,34
/v/n/u/v,79
/v/u/v/u,46
/v/v/n/r,23
/n/v/v/d,21
/n/d/n/v,24
/v/u/v/n,75
/d/n/v/n,28
/n/v/d/v,27
/v/d/v/d,10
/v/r/n/v,21
/r/v/v/d,14
/ws/ws/ws/ws,22
/n/r/n/v,8
/v/n/d/v,30
/d/v/n/v,25
/n/v/r/v,8
/d/r/n/n,6
/n/n/v/d,6
/v/u/r/v,33
/n/u/v/n,32
/v/d/u/v,17
/d/v/u/v,4
/v/n/n/r,4
/a/a/v/v,3
/r/u/v/v,12
/n/v/v/r,11
/n/n/m/n,50
/n/n/n/m,44
/n/m/n/n,38
/m/n/n/n,36
/r/n/v/v,25
/u/v/r/v,22
/v/r/v/u,18
/r/v/u/v,16
/n/v/n/u,19
/v/u/d/v,10
/n/r/v/v,26
/u/r/v/v,4
/a/u/v/v,3
/n/n/d/n,3
/n/r/v/n,3
/n/u/n/v,3
/d/d/n/v,3
/d/d/v/v,3
/d/u/v/v,14
/d/v/r/d,3
/u/u/v/v,3
/v/u/v/d,14
