词性,出现次数
/v/v/v/v/v,359
/d/n/n/d/r,5
/d/n/v/d/v,6
/n/d/n/v/u,9
/n/nh/v/v/n,3
/n/v/n/u/v,9
/r/u/v/v/n,6
/u/v/v/n/d,3
/v/n/u/v/n,6
/v/v/r/v/v,16
/n/v/v/v/v,169
/d/n/v/v/v,24
/n/d/n/v/v,18
/n/n/v/d/v,10
/v/d/v/n/n,10
/v/v/v/u/n,16
/v/v/v/v/u,53
/d/v/n/n/n,5
/n/n/a/v/n,3
/n/n/n/v/u,3
/v/d/v/v/v,37
/v/n/v/v/n,75
/n/v/d/v/n,10
/n/v/v/n/v,74
/v/a/n/v/u,3
/v/u/n/d/v,3
/v/v/d/v/v,33
/v/v/n/v/v,180
/v/v/u/v/u,7
/v/v/v/a/v,12
/n/m/m/m/d,12
/n/m/m/m/n,12
/m/n/m/m/m,10
/m/m/m/m/m,9
/m/m/m/d/n,8
/n/n/v/n/v,63
/v/n/m/m/m,8
/m/m/m/n/m,7
/n/n/m/m/m,7
/n/n/n/n/v,49
/v/v/v/u/v,68
/r/v/v/v/d,8
/r/v/v/v/v,42
/v/r/v/v/v,38
/v/v/v/d/r,8
/r/v/v/r/v,4
/u/v/v/v/a,4
/v/n/r/v/v,19
/v/u/v/v/v,57
/u/v/v/v/v,50
/v/r/v/v/n,12
/v/v/v/n/v,132
/v/v/v/v/p,4
/d/u/v/v/v,14
/m/v/v/v/n,3
/n/a/v/v/n,3
/n/d/v/r/v,3
/d/v/u/v/n,4
/v/d/n/v/n,10
/v/n/v/v/v,171
/d/v/n/d/u,7
/n/d/v/p/v,3
/n/d/v/u/v,6
/n/n/v/u/v,10
/n/r/d/v/n,3
/v/v/u/v/v,47
/v/v/n/v/u,8
/v/v/v/v/d,23
/m/u/v/n/n,3
/r/v/n/u/v,3
/r/v/v/n/v,14
/d/n/nh/v/n,4
/n/v/n/v/v,81
/d/n/v/n/v,6
/n/a/v/v/v,3
/n/d/n/nh/v,3
/d/u/v/n/v,12
/n/n/v/n/n,22
/n/v/v/v/u,18
/u/v/v/r/n,3
/v/d/u/r/v,3
/v/v/r/v/n,10
/v/v/v/v/n,143
/a/d/n/d/v,2
/a/v/d/u/v,2
/a/v/n/v/n,4
/d/v/v/v/n,21
/v/d/u/v/v,18
