词性,出现次数
/u/v/v/v/u,46
/v/n/d/v/n,21
/v/u/n/v/n,35
/v/v/m/v/v,10
/d/n/r/v/d,6
/m/v/v/d/n,6
/n/n/n/n/v,86
/r/d/n/v/v,7
/v/n/v/d/v,90
/d/p/v/v/n,3
/v/r/n/v/v,16
/u/v/v/n/u,16
/v/v/v/r/u,8
/a/n/n/v/n,12
/d/v/v/d/v,41
/n/v/v/v/d,68
/p/v/v/v/v,18
/u/v/n/n/v,22
/v/n/v/d/n,36
/v/u/v/n/n,27
/n/u/v/v/n,18
/n/v/u/u/n,7
/u/n/v/r/n,4
/v/u/v/d/n,4
/d/r/v/u/v,6
/u/u/v/v/n,9
/u/v/u/d/u,3
/v/v/u/r/v,12
/a/n/v/u/v,7
/a/u/v/u/v,2
/n/n/n/v/v,159
/u/d/v/n/n,7
/v/u/v/v/n,91
/n/v/a/n/v,10
/v/m/u/v/v,3
/v/v/n/m/m,3
/r/v/v/u/v,18
/d/u/v/v/v,83
/n/d/v/n/n,19
/v/v/v/r/v,95
/n/v/m/a/v,3
/u/u/n/u/v,3
/v/d/v/n/v,58
/v/n/d/v/r,4
/n/n/d/v/n,14
/n/v/r/n/v,7
/u/n/n/v/v,9
/u/v/r/v/n,6
/a/d/d/v/v,2
/a/u/n/n/v,2
/a/v/d/v/p,2
/n/d/v/u/v,27
/v/a/v/v/v,26
/a/v/v/v/a,5
/n/v/n/r/v,20
/v/v/m/d/v,4
/d/p/v/n/v,3
/n/v/r/v/d,3
/v/u/v/r/v,13
/v/v/r/v/n,24
/d/u/n/v/v,7
/d/v/v/v/u,65
/v/d/u/n/v,13
/v/v/v/d/u,25
/n/v/n/v/r,19
/v/n/d/n/u,6
/a/n/v/d/v,5
/c/v/v/v/v,10
/d/d/r/v/v,4
/d/m/u/v/v,2
/v/n/v/v/r,18
/m/n/d/a/v,3
/u/m/n/d/v,3
/u/v/v/v/d,28
/v/r/v/n/v,30
/u/d/v/v/v,32
/v/d/v/d/v,46
/v/n/r/v/n,23
/a/v/n/n/v,5
/v/n/d/v/v,164
/n/d/n/d/n,10
/n/v/n/n/d,19
/n/n/v/n/u,12
/v/m/r/u/u,3
/v/n/n/n/n,47
/m/v/v/v/v,34
/v/v/d/u/n,8
/n/a/v/u/u,3
/nh/v/n/a/v,3
/v/m/d/v/v,3
/v/n/n/u/v,19
/v/v/d/d/n,6
/a/u/u/v/d,2
/v/n/v/n/d,41
/d/r/v/d/u,3
/n/v/d/v/u,12
/p/n/v/d/v,3
/u/v/v/u/v,55
/v/n/u/v/v,38
/d/v/v/v/nh,3
/d/v/v/n/d,14
/v/n/n/d/n,10
/d/n/n/n/n,18
/d/n/v/d/u,6
/d/r/v/r/n,2
/n/n/v/v/u,19
/d/u/d/v/d,3
/n/d/n/v/n,36
/n/n/u/v/v,48
/d/r/v/v/v,17
/n/v/v/n/d,52
/r/v/u/v/v,3
/d/u/u/v/v,28
/d/v/d/q/n,3
/n/u/n/v/n,21
/n/v/r/v/v,59
/d/n/v/v/d,25
/n/v/v/u/r,4
/v/d/u/v/v,71
/d/d/n/v/v,19
/n/u/v/v/u,15
/u/v/u/v/v,43
/n/u/n/u/v,4
/r/v/v/n/v,49
/u/v/v/n/v,70
/n/v/r/v/n,13
/a/r/u/v/r,3
/d/d/d/v/v,14
/d/r/v/n/u,3
/r/v/r/n/v,3
/n/d/v/r/v,22
/r/a/n/v/u,3
/v/d/u/u/v,3
/v/v/d/u/v,27
/a/u/u/u/v,2
/d/r/a/n/v,2
/n/u/d/v/v,12
/nh/v/d/u/v,3
/n/v/n/v/d,38
/n/n/v/n/d,13
/n/v/n/d/nl,3
/n/v/v/u/n,22
/v/v/n/d/u,19
/n/u/v/r/v,3
/u/r/n/u/v,3
/u/r/n/v/v,10
/v/d/n/n/n,9
/v/d/v/v/u,31
/d/n/v/d/n,12
/d/r/v/v/d,3
/u/v/n/d/v,15
/v/d/v/u/v,27
/v/v/d/v/u,20
/d/v/d/n/v,18
/d/d/v/v/v,62
/u/r/v/n/d,3
/d/v/n/u/n,3
/n/u/n/m/n,3
/n/u/n/v/v,25
/n/v/d/v/n,24
/n/v/nh/n/v,3
/v/u/r/v/v,8
/v/v/u/u/v,16
/n/u/n/n/u,3
/u/n/u/v/n,6
/u/u/v/v/v,21
/a/a/a/a/a,5
/a/n/n/v/v,3
/d/u/r/v/d,3
/m/v/v/v/n,3
/n/d/n/r/v,9
/u/v/v/v/n,90
/v/v/v/a/v,4
/d/d/v/n/u,3
