词性,出现次数
/d/v/v,33051
/n/d/v,29615
/v/v/n,10602
/n/v/v,12315
/v/v/v,14601
/d/d/v,11667
/v/u/n,29535
/n/v/n,805
/v/n/n,304
/m/q/n,3327
/v/m/q,872
/n/u/n,6341
/u/n/v,12583
/d/v/u,15069
/v/v/u,20493
/v/d/v,12369
/v/u/v,9663
/n/v/u,6298
/r/d/v,7610
/v/r/v,6086
/v/u/r,1090
/v/v/r,5138
/d/v/r,3387
/v/n/v,6084
/u/n/d,2165
/r/v/v,563
/r/v/r,64
/r/v/u,331
/v/r/d,36
/d/v/n,1512
/u/n/n,82
/a/u/n,656
/r/u/n,281
/v/u/m,530
/ws/ws/ws,333
/v/r/u,28
/n/n/v,258
/u/m/q,227
/v/n/u,16
/v/r/n,77
/nd/n/u,7169
/o/o/r,7168
/o/r/nd,7168
/r/nd/n,7168
/n/u/o,7167
/u/o/o,7166
/n/n/n,79
