,词性,出现次数
8,/v/v/v/v/v,268
1,/v/n/v/v/v,108
12,/n/v/v/v/v,94
29,/v/v/n/v/v,91
22,/v/v/v/n/v,72
2,/n/v/v/n/v,64
42,/v/v/d/v/v,56
31,/v/u/v/v/v,55
20,/v/v/v/v/n,48
15,/n/v/n/v/v,47
23,/v/d/v/v/v,44
3,/v/v/v/u/v,42
172,/v/v/u/v/v,39
11,/n/n/v/v/v,39
0,/n/v/v/v/n,38
159,/d/v/v/v/v,37
17,/n/n/v/n/v,29
13,/d/n/v/v/v,27
47,/v/v/n/n/n,25
