,词性,出现次数
1,/v/v,30668
0,/n/v,24547
2,/v/n,24255
5,/v/u,16305
6,/d/v,15722
4,/u/v,14630
10,/v/r,12622
11,/r/v,11011
3,/n/n,10600
9,/v/d,9320
7,/n/u,4846
8,/n/d,2790
12,/u/n,2199
18,/d/u,1196
17,/r/n,509
16,/r/u,308
15,/d/r,304
19,/r/r,223
14,/n/r,168
