,词性,出现次数
0,/v/v/v/v,1039
5,/v/v/n/v,761
4,/v/n/v/v,686
2,/n/v/v/v,602
8,/v/v/v/n,567
3,/v/n/v/n,350
13,/n/v/n/v,350
11,/u/v/v/v,324
12,/v/u/v/v,273
23,/v/v/u/v,244
28,/v/v/v/u,219
9,/d/v/v/v,194
6,/v/n/n/v,189
7,/n/v/v/n,173
31,/v/r/v/v,151
1,/n/n/v/v,148
36,/v/d/v/v,136
32,/v/v/r/v,124
25,/r/v/v/v,95
