,词性,出现次数
1,/v/v,50684
0,/n/v,43223
2,/v/n,41093
3,/d/v,28534
5,/v/u,27784
4,/n/n,23873
10,/u/v,20905
6,/v/r,19181
9,/v/d,14012
7,/r/v,13891
8,/n/d,8802
12,/u/n,4535
11,/n/u,4241
15,/d/u,963
16,/u/d,953
13,/v/m,771
14,/m/n,394
17,/a/v,115
