,词性,出现次数
5,/v/v/v/v/v,335
4,/v/v/v/v/n,142
19,/v/v/n/v/v,117
7,/n/v/v/v/v,116
3,/v/n/v/v/v,115
20,/n/v/v/n/v,92
14,/v/v/v/n/v,78
6,/d/v/v/v/v,75
25,/v/v/u/v/v,63
22,/n/v/v/v/n,62
10,/v/n/v/v/n,61
12,/n/v/n/v/v,60
18,/v/d/v/v/v,58
24,/u/v/v/v/v,56
2,/n/v/n/v/n,56
29,/v/v/v/n/n,51
0,/v/n/v/n/v,49
16,/v/v/n/v/n,46
23,/n/n/v/v/v,45
