,词性,出现次数
21,/v/v/v/v/v,1404
18,/n/v/v/v/v,726
25,/v/v/n/v/v,702
29,/v/v/v/n/v,700
24,/v/n/v/v/v,608
13,/v/v/v/v/n,590
30,/n/v/n/v/v,417
28,/v/n/v/n/v,404
49,/n/v/v/n/v,328
5,/n/n/n/n/n,321
27,/n/v/v/v/n,319
86,/v/v/n/v/n,287
26,/n/n/v/v/v,256
11,/n/v/n/v/n,255
100,/v/n/v/v/n,255
14,/d/v/v/v/v,248
23,/v/d/v/v/v,228
51,/v/v/n/n/v,227
56,/u/v/v/v/v,227
