,词性,出现次数
0,/v/v,231079
1,/n/v,211609
2,/v/n,199092
6,/d/v,128134
4,/v/u,126370
8,/n/n,124782
5,/u/v,93666
3,/v/r,82428
9,/v/d,55742
7,/r/v,54764
12,/n/d,43885
10,/u/n,28230
11,/n/u,23340
14,/v/m,4812
13,/m/n,3711
15,/u/d,2018
16,/d/u,1937
19,/v/nh,601
21,/u/u,452
