,词性,出现次数
0,/v/v/v/v,3477
15,/v/v/n/v,2788
4,/v/n/v/v,2561
6,/v/v/v/n,2129
16,/n/v/v/v,2060
13,/v/n/v/n,1877
14,/n/v/n/v,1646
10,/n/v/v/n,1176
25,/v/n/n/v,936
9,/v/v/u/v,858
2,/v/u/v/v,823
1,/u/v/v/v,793
26,/v/v/n/n,623
27,/n/n/v/v,558
31,/v/v/v/u,513
23,/n/v/n/n,416
41,/v/d/v/v,356
42,/v/v/r/v,321
37,/n/n/n/v,318
