词性,出现次数
/v/n/v/v,5534
/v/v/n/v,5664
/n/v/v/v,4621
/d/v/v/v,817
/v/v/v/v,7481
/v/d/v/v,859
/v/n/v/n,3349
/v/v/n/d,215
/v/v/v/n,4589
/d/v/v/n,200
/n/v/n/v,3402
/u/v/v/v,911
/v/u/v/v,1097
/v/v/v/d,833
/d/r/r/v,6
/n/n/n/n,433
/m/m/m/m,5
/n/n/u/v,15
/n/u/v/d,5
/n/v/n/n,953
/r/v/r/r,5
/v/n/d/v,337
/v/v/n/n,1147
/v/n/n/v,2092
/u/v/n/v,474
/v/v/u/v,893
/n/n/v/v,1452
/n/n/n/v,474
/n/v/v/n,2673
/v/v/v/r,215
/v/n/r/v,75
/v/r/v/v,319
/d/v/r/v,24
/v/v/r/v,308
/n/u/v/n,35
/v/n/v/d,200
/d/n/v/v,401
/d/v/n/v,284
/u/v/v/n,181
/v/v/d/v,807
/n/u/v/v,121
/v/v/n/u,112
/n/v/r/v,39
/u/v/d/v,9
/u/v/n/d,13
/n/n/v/n,782
/n/v/u/v,314
/v/v/v/u,613
/v/n/v/u,379
/a/v/v/v,30
/v/u/d/v,63
/d/n/v/n,104
/n/u/n/v,18
/u/n/n/v,20
/n/v/n/u,89
/v/n/u/v,184
/v/u/v/n,201
/u/n/v/n,34
/u/v/u/v,48
/r/v/v/v,396
/u/r/v/v,24
/v/n/n/n,493
/d/n/n/v,26
/v/v/c/v,7
/n/v/d/n,58
/d/u/v/v,64
/v/u/v/u,62
/v/n/n/u,10
/v/v/d/n,111
/v/n/v/r,43
/u/n/v/v,109
/v/v/d/u,17
/nh/v/v/v,14
/v/nh/v/v,16
/n/u/n/n,14
/v/d/n/v,334
/r/v/v/n,17
/r/v/n/v,86
/d/v/d/v,33
/v/d/v/d,33
/n/r/n/v,8
/v/n/n/d,35
/v/r/v/n,52
/n/v/v/u,198
/n/v/n/d,136
/v/u/u/v,7
/r/n/v/n,7
/n/d/r/v,10
/n/n/v/u,64
/u/v/v/r,7
/c/v/n/v,3
/d/d/n/v,3
/d/n/v/d,11
/n/d/v/n,47
/n/v/v/d,85
/v/d/v/n,154
/n/a/n/v,9
/d/n/d/n,9
/v/n/d/u,8
/n/d/u/n,7
/n/n/v/r,6
/n/v/d/v,141
/v/d/u/v,15
/v/v/a/v,23
/d/d/v/n,11
/u/v/v/u,56
/n/d/v/v,124
/n/u/u/v,15
/v/v/n/r,62
/r/v/u/n,8
/n/v/u/n,36
/n/v/v/r,20
/r/v/v/r,10
/n/d/n/v,77
/v/d/n/d,16
/d/v/u/v,21
/v/u/n/v,109
/u/v/v/d,22
/n/d/n/d,6
/v/v/u/d,28
/m/n/n/v,10
/d/u/r/v,6
/u/u/v/v,6
/v/u/r/v,20
/u/d/v/v,24
/r/r/v/v,8
/n/n/p/m,16
/n/r/v/v,15
/v/n/d/n,49
/u/v/n/n,29
/v/u/r/u,4
/n/v/u/r,3
/r/v/u/r,3
/u/n/u/v,9
/v/u/v/r,3
/d/v/d/n,17
/i/v/u/d,2
/v/n/r/r,7
/n/d/d/n,7
/r/v/d/v,7
/v/n/u/n,14
/u/d/n/v,6
/p/n/v/n,5
/v/v/v/m,11
/d/d/v/v,17
/v/v/q/v,8
/v/v/v/q,8
/q/v/v/v,7
/m/v/v/v,6
/r/u/v/v,12
/d/u/v/n,30
/r/n/v/v,8
/u/d/v/u,8
/nh/v/n/v,7
/v/n/a/u,7
/v/v/p/v,9
/n/n/d/v,35
/a/v/v/d,6
/u/d/u/v,6
/v/r/v/r,15
/d/v/r/n,6
/d/v/v/u,10
/v/v/u/u,6
/v/d/d/v,5
/n/v/q/v,10
/v/n/v/q,9
/m/v/n/v,7
/v/a/v/v,19
/v/r/n/n,8
/d/v/n/n,16
/v/v/u/nh,4
/d/n/n/d,3
/v/v/nh/v,20
/d/n/v/u,15
/d/v/u/n,8
/v/m/n/v,6
/v/d/r/v,9
/d/v/v/d,9
/d/v/a/u,4
/v/v/u/n,20
/a/v/n/v,4
/v/u/d/n,26
/u/v/u/n,8
/n/n/d/n,7
/v/r/u/v,17
/d/v/d/u,7
/r/d/v/v,7
/v/r/n/r,7
/v/v/v/p,11
/d/v/v/r,6
/v/n/u/d,7
/n/n/r/v,10
/n/v/a/v,6
/d/n/n/n,7
/n/d/n/n,7
/d/u/d/v,13
/n/p/n/n,5
/n/n/n/a,4
/q/n/n/n,4
/d/u/n/n,3
/n/n/a/ns,3
/n/n/n/q,3
/v/u/v/d,8
/d/n/u/v,7
/n/n/v/d,18
/v/a/v/n,8
/n/v/n/r,12
/n/m/n/n,8
/n/n/n/u,4
/n/d/u/v,8
/d/v/n/d,8
/n/a/v/v,6
/n/n/u/n,8
