词性,出现次数
/v/n/v/n/n,103
/v/v/d/v/v,210
/v/v/v/d/v,127
/a/c/u/d/v,2
/a/n/n/v/v,6
/a/v/v/d/v,5
/a/v/v/n/v,20
/d/q/v/n/v,2
/d/v/m/v/v,2
/d/v/nd/r/n,2
/n/v/v/v/n,269
/u/n/n/v/v,14
/v/v/v/r/u,14
/v/v/v/v/v,1572
/r/v/v/v/n,43
/u/v/v/v/n,81
/v/d/u/r/n,3
/v/r/v/v/v,85
/v/u/v/v/v,179
/r/v/v/r/v,6
/d/u/v/v/n,26
/m/$/m/n/m/m,2
/m/m/m/m/nh,2
/m/m/m/nh/m,2
/m/n/m/m/m,2
/m/n/m/n/m,11
/m/n/v/v/m,2
/m/u/v/p/v,2
/m/v/m/m/n,2
/v/v/v/u/v,134
/n/d/d/n/n,6
/n/nh/n/d/n,3
/n/u/u/v/v,6
/n/u/v/u/d,3
/n/u/v/v/n,34
/v/n/n/nh/v,3
/v/n/u/u/v,9
/v/n/u/v/u,6
/v/v/v/v/n,563
/d/v/v/v/v,332
/n/u/v/v/v,51
/r/d/v/v/v,14
/v/d/n/v/v,78
/d/n/v/n/v,44
/n/u/v/u/n,3
/nd/n/u/v/u,3
/u/v/v/v/r,9
/v/n/v/v/v,670
/v/v/n/d/v,96
/r/v/v/v/v,109
/u/v/v/v/v,207
/v/n/d/v/d,12
/v/n/v/n/v,307
/v/v/d/v/n,40
/v/v/v/r/v,53
/n/r/v/v/v,43
/r/v/v/v/u,12
/v/d/v/v/n,64
/v/v/v/u/r,4
/d/v/u/v/v,26
/d/v/v/v/r,12
/n/d/v/v/v,123
/n/r/u/v/n,6
/v/v/v/n/v,502
/r/u/v/v/v,8
/u/v/v/v/u,33
/v/v/n/v/u,24
/v/v/n/v/v,577
/n/v/n/v/n,203
/n/v/u/v/v,36
/n/v/v/n/v,241
/v/n/v/u/v,29
/n/v/v/v/v,688
/n/v/n/n/n,52
/v/n/u/n/v,11
/v/v/u/n/v,38
/n/n/a/v/v,6
/n/n/n/v/n,67
/n/v/n/v/v,258
/n/v/r/v/n,13
/u/n/v/n/v,28
/v/n/d/v/v,76
/v/n/n/v/v,173
/v/v/v/d/u,13
/v/r/n/v/n,10
/v/v/v/v/d,179
/d/n/r/d/v,3
/d/n/v/v/u,24
/d/u/v/v/v,51
/n/v/d/v/v,53
/r/n/v/v/v,19
/v/v/n/n/v,190
/v/v/r/v/v,75
/n/n/n/n/n,178
/n/u/n/v/v,31
/n/v/n/v/d,26
/n/n/v/v/v,249
/v/d/v/v/v,241
/v/r/v/n/v,7
/r/v/n/v/v,32
/n/v/n/n/v,102
/nh/nh/nh/nh/nh,7
/d/n/d/n/v,10
/n/n/n/v/v,101
/v/n/q/v/n,3
/v/q/v/v/v,3
/d/d/v/v/n,10
/d/n/d/n/p,2
/d/d/v/u/v,3
/d/n/d/v/d,7
/d/v/n/v/n,37
/d/v/u/v/u,3
/n/d/d/v/d,3
/n/n/n/n/v,72
/u/v/u/v/u,7
/v/v/r/v/n,7
/v/v/v/a/v,12
/a/v/v/v/n,12
/n/n/v/v/u,18
/n/p/v/v/v,6
/n/r/v/v/n,28
/n/v/r/v/v,27
/v/m/v/u/v,3
/v/n/v/r/v,20
/v/n/v/d/v,38
/v/v/v/v/u,105
/d/n/v/u/v,8
/d/n/v/v/n,73
/d/u/v/nh/v,3
/r/v/v/n/d,10
/a/v/n/n/n,5
/n/d/v/v/d,4
/n/v/u/n/v,26
/v/d/v/d/v,27
/v/v/r/n/v,11
/a/n/v/v/v,6
/d/n/n/v/r,3
/d/n/r/a/d,3
/d/v/n/v/d,7
/u/u/u/v/v,3
/d/d/u/d/v,2
/d/d/v/n/v,12
/d/d/v/u/d,2
/d/n/c/d/r,2
/n/u/v/d/n,3
/v/n/d/u/v,10
/v/n/v/v/d,51
/v/u/v/v/u,8
/v/v/n/v/n,270
/a/r/u/n/u,2
/a/r/v/u/v,2
/n/n/v/n/v,115
/v/v/v/q/n,7
/v/v/v/u/d,8
/d/n/v/n/n,16
/d/v/d/d/n,6
/v/n/v/v/n,166
/d/v/v/n/v,92
/d/v/d/v/v,40
/d/v/n/d/v,18
/n/c/v/v/v,6
/d/u/v/u/u,3
/d/v/v/n/n,23
/m/v/v/n/v,3
/n/d/v/v/n,43
/n/n/d/v/r,3
/n/n/u/u/v,3
/u/n/n/v/u,3
/n/d/v/n/v,23
/v/v/v/n/n,113
/d/u/v/u/v,6
/d/v/v/d/v,41
/d/d/v/v/v,49
/d/v/u/n/d,3
/n/r/v/r/v,9
/u/v/v/p/n,3
/v/n/u/n/n,3
/v/u/v/u/v,3
/v/u/v/v/n,52
/v/u/n/v/v,36
/a/v/a/v/d,2
/c/n/n/v/n,2
/c/v/u/n/v,2
/d/n/d/n/d,2
/d/n/d/v/v,38
/d/n/r/v/n,6
/n/d/v/n/n,13
/v/n/n/n/u,10
/v/n/r/v/v,31
/a/v/v/v/v,28
/d/m/v/n/d,4
/d/n/d/n/u,2
/n/n/v/u/v,15
/r/u/v/d/v,3
/p/u/v/n/v,4
/v/v/d/u/v,15
/v/v/v/u/n,60
/n/v/v/n/n,84
/r/v/v/n/v,35
/n/d/n/v/v,56
/nh/v/n/v/n,4
/d/n/n/v/v,22
/n/n/v/nh/v,3
/n/v/u/v/n,28
/n/v/u/v/r,3
/u/r/r/r/v,3
/v/v/v/v/r,68
/d/v/r/d/n,3
/v/v/p/u/v,4
/v/v/u/n/n,12
/v/d/v/v/d,24
/n/v/v/v/d,47
/v/d/v/r/v,11
/d/m/v/v/v,8
/d/v/n/v/v,78
/d/v/v/v/i,3
/n/v/v/d/n,20
/nh/v/n/v/d,3
/v/v/r/v/r,7
/d/d/v/v/d,4
/d/n/d/n/n,5
/d/n/v/r/n,2
/d/v/r/n/v,5
/d/v/u/d/v,5
/d/v/u/v/n,2
/d/v/v/m/d,2
/d/v/v/r/v,20
/u/u/v/v/v,15
/v/d/v/u/r,4
/n/n/n/u/v,9
/u/v/v/d/n,3
/v/d/r/v/d,3
/v/r/v/v/u,6
/d/n/v/d/u,3
/n/v/r/u/v,3
/v/n/u/d/v,3
/a/n/a/v/u,2
/a/r/r/u/u,2
/a/v/r/v/n,2
/u/v/v/n/v,66
/v/d/v/n/d,4
/n/v/v/n/d,45
/r/v/n/n/n,3
/v/d/v/n/v,56
/v/n/u/v/v,19
/v/n/v/v/m,7
/v/r/v/v/n,9
/d/u/v/n/v,7
/d/v/v/u/v,30
/u/d/v/v/v,21
/v/u/v/r/d,4
/v/n/n/n/v,45
/n/v/d/q/d,3
/n/v/n/d/u,3
/v/v/d/nh/v,3
/v/v/d/v/r,3
/v/v/nh/v/d,3
/v/v/nh/v/n,3
/p/v/v/v/v,9
/v/v/n/v/r,9
/n/a/v/v/v,14
/r/v/u/v/n,10
/u/v/v/n/r,3
/v/n/r/u/v,3
/v/v/r/u/v,6
/d/v/d/n/n,3
/nd/v/d/v/v,3
/u/n/d/v/v,7
/v/d/n/n/v,18
/u/n/r/v/v,3
/v/u/d/v/n,3
/v/u/v/u/u,3
/a/n/u/v/n,2
/m/v/d/v/n,9
/v/d/v/n/n,14
/v/r/u/v/v,3
/d/v/d/v/u,7
/n/v/n/d/v,31
/d/n/d/v/n,9
/d/n/v/v/v,96
/m/n/v/v/v,7
/u/n/v/v/v,48
/n/v/m/v/v,4
/v/n/d/v/u,15
/d/u/v/d/u,3
/d/v/n/n/v,34
/n/d/v/u/n,6
/d/u/u/n/v,4
/u/u/v/n/r,4
/v/d/u/v/v,27
/r/v/u/n/v,5
/v/v/n/u/v,17
/n/d/v/d/u,12
/n/u/r/v/v,3
/n/v/v/d/v,80
/u/n/v/v/d,3
/u/u/n/v/v,6
/u/u/v/v/n,12
/d/v/v/v/d,28
/d/v/v/n/r,10
/v/r/v/u/v,4
/d/v/n/d/n,6
/d/v/v/v/n,73
/n/v/v/v/u,76
/r/v/v/v/r,13
/v/n/n/d/v,23
/v/r/v/n/n,4
/v/n/d/n/v,29
/v/v/u/v/v,173
/n/n/n/v/m,3
/n/n/u/n/d,3
/n/n/v/v/n,99
/n/r/u/v/v,6
/n/n/n/d/v,13
/n/n/v/r/v,7
/a/n/v/v/r,3
/n/n/r/v/v,24
/n/v/d/u/n,6
/r/v/u/n/n,3
/u/r/v/u/n,3
/u/v/v/u/v,11
/v/u/v/d/v,12
/v/v/u/v/d,11
/d/u/v/v/u,5
/n/v/v/m/n,7
/u/v/u/v/v,16
/v/v/n/d/u,4
/n/d/u/v/v,13
/n/v/v/u/v,74
/n/d/n/n/v,18
/n/r/n/d/d,3
/r/u/v/n/v,7
/u/r/v/v/v,3
/r/v/v/n/n,3
/u/n/v/u/n,7
/u/r/v/r/v,3
/v/n/n/v/n,66
/v/u/r/v/r,3
/v/v/r/n/r,6
/v/v/n/n/n,42
/v/n/v/v/u,37
/n/n/d/r/v,4
/n/v/v/n/u,4
/nh/v/v/v/v,9
/r/v/v/v/d,10
/u/n/u/v/v,3
/v/u/d/v/v,13
/u/v/n/v/v,62
/v/n/v/a/v,12
/n/n/r/d/d,3
/n/n/v/d/v,15
/d/r/v/r/v,2
/n/d/m/n/u,2
/r/n/r/v/r,2
/r/u/r/v/d,2
/r/v/d/d/v,2
/r/v/r/v/u,2
/u/r/n/r/v,2
/u/r/v/d/d,2
/d/u/n/a/v,3
/n/m/v/v/n,3
/n/v/d/n/v,21
/v/d/d/u/v,4
/v/v/v/n/d,48
/n/m/v/n/n,3
/n/v/nh/v/v,7
/n/v/v/v/r,24
/d/n/v/d/v,30
/d/n/v/n/d,6
/d/n/v/r/u,5
/d/n/v/v/m,3
/v/v/d/n/v,52
/v/d/r/n/u,3
/v/u/u/v/v,12
/c/v/r/v/n,2
/n/d/u/n/v,8
/n/d/n/n/d,3
/r/v/d/v/v,6
/v/d/v/d/n,7
/n/d/n/d/v,4
/n/n/v/d/n,4
/v/n/n/u/v,9
/v/n/p/v/u,4
/v/u/n/n/v,9
/n/n/v/v/r,6
/n/n/d/v/d,12
/n/n/v/n/n,52
/n/n/v/v/nd,3
/a/v/d/u/n,3
/d/u/r/v/v,3
/v/nd/v/v/n,4
/d/n/v/n/u,6
/n/d/a/v/v,3
/n/v/v/d/u,3
/v/u/v/v/d,4
/n/v/d/v/u,6
/u/v/d/v/u,4
/n/d/n/v/n,3
/n/n/u/v/n,7
/n/n/v/n/a,3
/d/u/n/v/u,3
/v/a/n/n/n,3
/v/v/u/u/v,12
/m/m/n/v/u,3
/v/d/v/v/a,3
/v/v/n/a/v,4
/n/v/u/v/u,9
/r/u/v/u/n,3
/v/n/n/d/u,3
/v/u/v/n/v,45
/d/u/v/r/u,4
/d/n/v/v/d,14
/d/r/v/v/n,10
/u/u/u/n/v,3
/u/v/d/u/v,6
/v/d/u/n/d,3
/v/u/v/a/v,3
/ws/ws/ws/ws/ws,18
/v/u/v/r/v,11
/r/n/v/d/r,3
/v/u/v/u/r,3
/v/v/v/u/u,3
/d/n/n/n/v,5
/d/n/n/v/n,24
/r/n/n/v/v,4
/v/n/n/r/v,4
/v/r/v/r/v,8
/n/v/u/n/n,10
/r/v/n/v/n,12
/v/v/u/r/u,4
/d/a/d/v/v,3
/d/u/nd/r/v,3
/d/v/a/d/v,3
/v/n/n/n/n,48
/n/a/v/v/n,7
/v/v/n/q/n,4
/n/n/n/q/n,3
/n/q/n/q/n,3
/n/n/u/r/v,3
/nh/v/u/v/v,3
/v/d/n/v/n,29
/d/u/n/n/v,3
/u/v/r/v/v,6
/v/u/nh/n/v,3
/d/n/v/d/n,3
/n/d/v/v/u,6
/d/v/v/v/u,37
/r/r/v/v/v,5
/d/n/n/v/u,7
/r/v/r/v/v,10
/v/v/p/v/v,7
/v/n/u/v/n,14
/v/v/v/v/m,7
/n/m/v/v/v,14
/r/v/n/n/v,3
/u/n/v/r/v,3
/a/a/u/v/v,3
/v/v/v/n/r,27
/u/v/v/u/n,4
/m/m/v/v/v,13
/n/v/v/n/p,3
/u/n/v/v/n,10
/u/v/n/r/a,3
/u/v/n/r/v,3
/d/v/v/a/v,9
/n/v/d/u/v,7
/u/v/n/v/n,15
/d/v/u/v/r,4
/n/v/a/v/n,10
/n/v/v/n/r,9
/n/v/n/v/u,27
/d/u/v/r/v,6
/n/v/m/n/v,3
/n/v/v/u/u,3
/n/d/v/v/m,3
/v/v/v/v/a,7
/d/n/u/v/v,14
/n/n/u/d/n,3
/n/u/v/n/v,11
/d/d/u/v/v,7
/d/n/n/d/v,7
/n/n/d/v/n,5
/n/n/d/v/v,28
/q/v/v/v/v,3
/u/d/v/n/v,6
/n/v/r/n/d,4
/v/nh/v/v/v,11
/v/v/u/r/v,4
/v/d/u/n/v,10
/v/n/v/d/n,14
/v/v/v/r/d,4
/m/m/v/n/v,3
/u/v/d/v/v,11
/n/r/r/v/u,3
/r/v/d/v/n,3
/v/v/n/u/d,3
/v/v/v/n/u,15
/d/n/n/n/n,15
/m/v/v/v/n,10
/n/v/v/u/n,14
/r/v/v/d/v,14
/d/v/v/nh/v,10
/n/v/d/v/n,28
/n/n/n/m/v,6
/n/r/v/n/v,13
/v/u/n/u/v,7
/n/m/m/v/v,4
/m/v/n/n/n,6
/v/n/d/u/d,3
/v/n/d/u/n,3
/v/v/a/v/n,6
/d/d/v/n/n,3
/a/v/v/n/r,3
/d/a/v/v/m,3
/n/r/u/d/n,3
/n/u/n/v/n,6
/n/d/d/v/v,7
/d/r/r/v/r,3
