词性,出现次数
/v/v/v/n,9784
/v/v/n/v,12079
/v/v/n/n,2502
/v/v/v/v,15999
/u/v/v/n,370
/v/v/n/d,161
/v/v/u/n,85
/d/v/d/v,40
/d/v/v/u,30
/d/v/v/v,1485
/v/n/v/n,7358
/n/v/n/v,7057
/v/n/n/v,4203
/v/n/v/v,11930
/v/u/v/v,2998
/n/v/v/n,5369
/n/v/v/v,9675
/v/v/d/v,982
/n/v/u/v,667
/r/v/v/v,920
/u/n/v/v,242
/n/n/v/v,2732
/n/v/n/n,1654
/v/n/n/n,807
/v/v/v/r,534
/d/n/v/v,182
/v/d/v/v,1363
/v/n/v/u,1084
/n/u/v/v,313
/v/d/v/n,105
/n/n/v/n,1592
/n/n/n/v,619
/v/r/v/v,981
/d/n/n/v,13
/n/d/v/v,135
/n/v/v/d,164
/v/n/r/v,132
/u/v/v/v,2216
/v/v/v/d,1239
/v/v/r/v,1039
/v/r/n/v,50
/d/v/n/v,358
/v/v/n/u,180
/n/v/v/u,259
/v/n/u/v,436
/v/v/v/u,1607
/n/v/n/u,136
/a/v/d/v,12
/v/v/d/n,127
/v/v/u/v,2222
/n/v/u/n,61
/u/v/n/v,852
/n/v/d/v,223
/n/v/n/d,71
/v/n/d/v,325
/n/n/n/n,745
/u/v/d/v,14
/v/u/d/v,27
/v/v/u/r,9
/v/u/n/v,239
/v/d/v/u,18
/v/r/u/v,45
/u/v/u/v,175
/u/n/v/n,54
/v/u/v/u,158
/v/r/v/r,43
/v/u/v/n,677
/a/r/v/a,8
/d/v/u/v,8
/n/n/u/v,61
/r/v/a/r,8
/r/v/v/r,8
/d/u/v/v,87
/n/u/r/v,12
/n/v/r/u,18
/v/a/v/v,24
/u/u/v/v,16
/u/v/v/u,138
/d/v/v/n,69
/n/u/v/n,40
/n/v/r/v,80
/v/m/n/v,14
/m/v/v/v,28
/r/v/r/v,17
/d/v/m/n,10
/v/n/v/d,164
/v/d/n/v,265
/v/n/q/v,16
/r/n/v/v,60
/u/u/u/u,46
/n/d/n/n,22
/v/n/r/n,24
/n/r/v/n,15
/v/r/v/n,88
/v/n/d/u,8
/n/d/n/v,60
/n/r/v/v,32
/d/n/v/n,30
/v/u/r/v,26
/v/d/r/v,6140
/r/v/d/r,6138
/d/r/v/d,6137
/n/u/n/v,62
/u/r/v/v,6
/r/v/v/n,70
/v/v/r/n,5
/d/v/n/n,17
/d/v/v/d,29
/v/nh/v/v,14
/v/d/u/v,38
/v/v/r/r,29
/r/v/n/v,104
/r/v/n/n,14
/u/d/v/v,14
/a/v/u/v,4
/d/r/u/d,4
/d/u/n/u,4
/n/d/u/n,4
/n/m/a/v,4
/v/n/d/n,55
/p/v/v/v,8
/v/u/n/u,8
/v/v/v/p,10
/n/n/r/a,8
/n/u/n/d,8
/v/n/v/r,49
/r/v/u/v,16
/v/u/u/v,15
/u/v/n/u,20
/r/r/v/v,16
/r/v/v/u,12
/v/u/v/r,13
/n/v/v/r,25
/u/n/n/v,16
/d/v/r/v,17
/u/v/r/n,12
/u/n/v/d,10
/v/n/n/d,13
/u/v/v/a,14
/a/v/n/v,12
/r/u/r/v,6
/r/v/n/u,6
/u/n/v/u,6
/u/r/d/v,6
/u/d/u/v,8
/v/u/n/n,6
/n/r/n/v,5
/n/v/d/n,18
/v/m/v/v,26
/u/v/n/n,30
/n/n/v/u,57
/ws/ws/ws/ws,30
/n/d/v/n,23
/n/n/d/n,14
/n/n/v/d,18
/c/n/v/n,5
/d/u/v/n,5
/n/n/r/n,5
/n/v/r/n,5
/u/v/r/v,36
/v/r/r/u,10
/d/v/v/r,8
/r/u/v/v,8
/v/d/v/d,14
/d/r/v/n,2
/d/ws/v/n,2
/n/r/v/d,2
/r/v/d/ws,2
/r/v/n/r,2
/v/d/ws/v,2
/u/v/v/r,16
/n/u/v/u,12
/v/v/r/u,8
/d/d/v/v,10
/u/v/v/d,10
/r/r/r/r,8
