词性,出现次数
/n/d/v,84195
/d/v/v,86813
/v/v/n,32644
/v/u/n,73898
/n/v/v,33481
/n/u/n,38423
/v/n/v,16232
/v/v/v,38792
/v/d/v,31691
/d/d/v,39727
/d/v/n,6042
/u/n/d,16996
/v/v/u,46449
/n/v/u,9772
/r/d/v,8948
/d/v/u,30376
/u/n/v,33881
/a/u/n,6448
/v/u/v,11047
/m/q/n,13614
/d/v/r,5622
/v/m/q,5030
/v/v/r,5713
/v/r/v,4027
/u/n/n,2004
/v/u/m,1385
/n/v/n,2719
/n/n/v,944
/d/m/q,73
/v/n/n,1035
/v/u/r,1110
/d/v/d,83
/n/n/n,282
/n/d/d,191
/v/n/u,326
/r/v/v,119
/v/r/n,118
/r/v/r,157
/r/v/u,127
/nh/v/u,117
/v/u/nh,74
/nh/d/v,54
/r/u/n,212
/u/m/q,96
/ws/ws/ws,419
/u/v/u,51
/d/a/u,80
/n/p/n,124
/n/m/q,66
/n/d/a,54
/r/m/n,54
/m/d/v,181
/n/m/d,97
/n/n/m,139
/a/u/v,53
/m/v/v,76
