词性,出现次数
/v/v/v/v/v,2545
/v/v/n/d/v,114
/n/v/v/v/v,1213
/v/n/d/v/n,58
/d/v/n/v/n,81
/n/v/n/v/u,66
/r/n/v/v/v,49
/r/v/n/v/v,65
/u/n/d/v/n,9
/u/v/v/v/v,409
/d/v/v/n/n,30
/v/v/n/n/v,326
/d/d/v/v/n,10
/d/v/n/d/v,38
/d/v/v/v/m,9
/n/d/d/n/v,3
/u/d/v/v/v,51
/u/v/a/v/v,3
/u/v/v/n/v,128
/v/a/v/v/n,10
/v/n/v/v/v,1200
/n/v/n/v/n,403
/v/v/n/v/v,974
/n/n/v/u/v,57
/n/v/d/n/v,71
/n/v/n/v/v,583
/r/v/v/n/v,50
/v/n/v/n/v,543
/v/v/v/u/v,266
/v/v/v/v/u,302
/n/n/v/v/v,457
/n/v/v/v/n,594
/r/v/v/v/v,213
/v/n/n/v/v,349
/v/v/v/v/d,208
/v/v/v/v/n,1003
/n/v/u/d/v,13
/n/v/v/n/v,512
/v/n/v/a/v,4
/v/u/v/v/v,380
/v/v/v/n/n,281
/d/d/u/v/v,6
/a/v/v/v/v,75
/n/n/r/v/v,29
/n/n/v/n/v,314
/n/r/v/c/v,3
/n/v/m/v/v,3
/n/v/v/u/n,51
/v/v/v/d/v,213
/d/r/v/n/v,11
/n/d/n/r/v,9
/n/n/v/n/u,18
/n/v/v/d/n,44
/n/n/v/v/n,239
/u/n/n/n/n,7
/v/v/r/u/v,14
/n/n/d/n/u,6
/n/n/n/n/v,136
/n/n/v/r/a,3
/n/v/v/d/v,103
/v/v/n/v/n,476
/n/n/n/n/n,375
/n/n/u/v/v,31
/n/v/u/u/u,3
/n/v/v/v/u,82
/u/v/v/v/n,169
/v/v/nh/v/v,14
/n/v/v/v/r,66
/u/v/u/d/u,6
/v/q/v/v/v,12
/v/u/v/u/d,3
/v/v/v/m/v,14
/d/m/v/v/u,2
/d/n/d/a/m,2
/d/n/u/v/v,19
/n/d/v/v/v,195
/d/v/v/n/v,200
/d/v/v/v/v,519
/v/n/d/v/v,156
/n/v/v/u/v,119
/n/d/v/n/n,31
/n/v/v/n/n,204
/v/v/d/n/v,102
/d/n/v/v/v,205
/n/d/n/v/v,85
/n/v/n/a/n,3
/n/v/n/u/n,15
/n/v/v/r/n,30
/nt/v/v/v/v,3
/n/v/d/v/v,134
/v/v/v/n/v,940
/v/nh/v/v/v,8
/n/u/n/n/v,23
/v/d/u/d/v,11
/n/n/v/n/n,144
/n/v/u/a/u,3
/n/v/u/v/n,68
/n/v/v/n/d,97
/v/n/u/v/n,22
/v/u/v/d/v,13
/v/u/v/n/d,10
/v/n/u/v/v,87
/n/r/v/n/v,35
/n/v/n/u/v,52
/r/v/n/v/n,28
/v/n/v/v/u,120
/c/n/v/v/v,4
/d/d/d/n/r,2
/d/q/v/n/v,2
/d/v/n/d/u,5
/v/d/v/n/v,72
/d/v/n/v/r,11
/v/n/v/r/v,44
/v/n/a/v/v,12
