,词性,出现次数
0,/v/v/v/v,29509
3,/v/v/n/v,23284
10,/v/n/v/v,22911
1,/n/v/v/v,18549
4,/v/v/v/n,18458
2,/v/n/v/n,15186
6,/n/v/n/v,14299
16,/n/v/v/n,10763
18,/v/n/n/v,8789
130,/v/d/r/v,6148
291,/r/v/d/r,6138
292,/d/r/v/d,6137
8,/n/n/v/v,5803
21,/v/u/v/v,5329
7,/v/v/n/n,4922
20,/u/v/v/v,4007
35,/v/v/u/v,3946
15,/n/v/n/n,3625
14,/n/n/v/n,3576
