,词性,出现次数
2,/v/v,871151
0,/n/v,798932
1,/v/n,748135
4,/d/v,502600
5,/v/u,481189
3,/n/n,454455
8,/u/v,359135
10,/v/r,334007
7,/v/d,240175
9,/r/v,215238
6,/n/d,180588
11,/n/u,98207
13,/u/n,87528
32,/d/r,12547
16,/u/d,11842
15,/d/u,10896
14,/v/m,8076
12,/r/n,6894
17,/m/n,5651
