,词性,出现次数
0,/v/v/v/v/v,5636
291,/v/r/d/v/r,4908
423,/d/v/r/d/v,4905
2098,/r/d/v/r/d,4905
2,/n/v/v/v/v,2746
17,/v/n/v/v/v,2710
32,/v/v/v/v/n,2433
19,/v/v/n/v/v,2322
74,/v/v/v/n/v,2287
28,/n/v/v/v/n,1311
22,/n/v/n/v/v,1298
24,/v/n/v/n/v,1162
95,/v/n/v/v/n,1155
63,/d/v/v/v/v,1108
34,/n/v/v/n/v,1061
53,/v/v/n/v/n,995
8,/u/v/v/v/v,930
124,/v/d/v/v/v,929
27,/n/n/v/v/v,834
