,词性,出现次数
0,/v/v,59646
1,/n/v,50989
2,/v/n,48594
3,/d/v,33165
6,/v/u,32298
9,/n/n,27593
4,/v/r,25840
7,/u/v,25712
5,/r/v,20117
8,/v/d,16902
11,/n/u,6197
10,/n/d,6136
12,/u/n,3826
13,/d/u,1128
16,/m/n,740
15,/u/d,571
14,/v/m,366
21,/r/n,242
18,/d/n,200
