,词性,出现次数
0,/v/v/v/v,2106
9,/v/n/v/v,1540
21,/v/v/n/v,1525
6,/v/v/v/n,1249
2,/n/v/v/v,1218
11,/n/v/n/v,900
3,/v/n/v/n,876
15,/n/v/v/n,713
20,/v/u/v/v,455
13,/v/v/u/v,378
16,/u/v/v/v,373
17,/v/n/n/v,372
5,/v/d/v/v,261
10,/n/v/n/n,255
34,/n/n/v/n,252
18,/v/v/n/n,238
19,/v/v/v/d,231
8,/v/v/d/v,214
26,/r/v/v/v,214
