,词性,出现次数
0,/v/v,273776
1,/n/v,241929
2,/v/n,230143
3,/d/v,155989
4,/v/u,140334
6,/n/n,132147
5,/u/v,102768
9,/v/r,99749
7,/v/d,84228
8,/n/d,63286
11,/r/v,60503
12,/n/u,22094
10,/u/n,19203
14,/u/d,4279
13,/d/u,3368
18,/v/m,2414
16,/v/nh,856
17,/d/n,853
21,/m/n,810
