,词性,出现次数
3,/v/v/v/v/v,221
1,/v/v/n/v/v,90
5,/v/v/v/v/n,90
0,/n/v/v/v/v,88
4,/v/v/v/n/v,84
8,/v/n/v/v/v,74
11,/v/u/v/v/v,59
12,/n/v/n/v/v,58
21,/u/v/v/v/v,52
6,/v/n/v/v/n,44
26,/v/v/v/v/u,31
37,/v/v/n/v/n,30
25,/n/n/n/n/n,28
33,/v/v/d/v/v,28
13,/d/v/n/v/v,27
43,/r/v/v/v/v,24
34,/v/n/v/n/v,24
7,/d/v/v/v/v,24
15,/n/v/n/n/v,24
