,词性,出现次数
0,/v/v,28449
2,/n/v,24583
1,/v/n,23680
4,/v/u,15384
3,/d/v,15230
6,/n/n,13977
7,/u/v,12596
5,/v/r,10242
8,/r/v,6514
9,/v/d,6264
11,/n/d,5418
10,/n/u,3488
12,/u/n,2483
14,/u/d,617
13,/r/n,514
15,/d/u,323
16,/m/n,254
17,/v/m,242
